1,actions,aim,aim,"look,point,target"
2,actions,answer,answer,"reply,respond"
3,actions,answer_phone,answer phone,"call,phone,telephone"
4,actions,are,are,be
5,actions,are_not,are not,"aren't,not to be"
6,actions,argue,argue,"argument,disagree,fight,quarrel"
7,actions,arrested,arrested,"criminal,detained,handcuffs"
8,actions,ask,ask,"enquire,request"
9,actions,back_massage,back massage,back rub
10,actions/cooking,bag_food,bag food,"pack,shopping"
11,actions,be,be,"am,are,been,being,is,to be"
12,actions,beat,beat,"champion,defeat,win"
13,actions,become,become,became
14,actions,becomeword,become,
15,actions,been,been,
16,actions,believe_hope,believe,"faith,hope"
17,actions/grooming,belt_tighten,tighten belt,buckle
18,actions,bend,bend,"bendable,curve,flexible"
19,actions,bicycle_rent,rent bicycle,rent bike
20,general,birth1,stork,"birth,childbirth,deliver"
21,health,symbol00000021,birth,"deliver,labor"
22,actions/eating,bite,bite,"bit,chew,nibble,taste"
23,actions/eating,bite_apple,bite apple,"apple,eat,taste"
24,actions,bite_leg,bite leg,dog bite
25,actions,blame,blame,"accuse,criticize,disapprove"
26,actions/cooking,blend_mix,blend,"blender,combine,mix,mixer"
27,actions,blog,blog,"chat,type"
28,actions,blow,blow,"breathe,exhale,puff"
29,actions,blow_balloon,blow up balloon,inflate
30,actions,blow_bubbles,blow bubbles,bubbles
31,actions/grooming,blow_dry_hair,blow dry hair,style
32,actions,bomb_attack,attack,"blow up,bomb,explode,explosion"
33,actions,boo,boo,"hiss,jeer"
34,actions,born,born,
35,actions,bother,bother,"annoy,disturb,hassle,interrupt,pester"
36,actions,bounce,bounce,
37,actions,bounce_hand,bounce,"bounce ball,dribble"
38,actions,bounce_on_ball,bounce on ball,
39,actions,braid,braid,plait
40,actions,braille_read,read braille,
41,actions,break_1,break,"broke,crack,destroy,snap"
42,actions,break_2,break,"broken,crack"
43,actions,break_3,break,"broke,broken,crack,snap,split"
44,actions,breathe,breathe,inhale
45,actions,bring,bring,"bringing,brings,brought,carry,take,transport"
46,actions,buckle_seat_belt,buckle seat belt,fasten
47,actions,build_blocks,build blocks,"construct,play"
48,actions,build_house,build house,"construct,construction"
49,actions,build_sailboat,build sailboat,
50,actions/eating,burp_belch,burp,belch
51,actions,bury_cemetary,bury,grave digger
52,actions/grooming,button_up,button,fasten
53,actions,buy_1,buy,purchase
54,actions,buy_2,buy,purchase
55,actions,buy_3,buy,purchase
56,communication/Greetings_Wrap_ups,bye_good_bye_1,Bye!,"farewell,good bye,wave"
57,communication/Greetings_Wrap_ups,bye_good_bye_2,Bye!,"farewell,good bye,wave"
58,actions,call,call,"chat,phone,ring,talk,telephone"
59,actions,call_2,call,"called,calling,calls,phone,ring,telephone"
60,actions,call_for_help,call for help,
61,actions,can_verb,can,"able,could,may"
62,actions,can,can,
63,actions,candle_burn,burn,"burned,burning,burns,candle,flame"
64,actions,care,care,"caregiver,kind,nurture,protect,respect,supervise,treat"
65,actions,carry,carry,"hold,move,take,transport"
66,actions,carve,carve,",cut,sculpt,wood carving"
67,actions,carve_pumpkin,carve pumpkin,"Halloween,scoop,sculpt"
68,actions,cash_check,cash check,
69,actions,catch2,catch,"capture,catches,catching,caught,grab,hold,take"
70,actions,catch_ball,catch ball,"baseball,capture"
71,actions,catch_person,catch person,"capture,grab,hold,seize,tag"
72,actions,change,change,"adapt,adjust,alter,amend,difference,modify,variable"
73,actions/grooming,change_clothes,change clothes,"attire,dress,outfit"
74,actions/grooming,change_diaper,change diaper,
75,actions,chase,chase,"follow,pursue,tag"
76,actions,cheat,cheat,"deceive,dishonest,trick"
77,actions,check_out_book,check out book,"borrow,library"
78,actions,cheer_1,cheer,"applaud,approve,encourage,rejoice"
79,actions,cheer_2,cheer,"applaud,approve,cheerleader,encourage"
80,actions/eating,chew,chew,"bite,chomp,eat,gnaw"
81,actions,choke,choke,strangle
82,actions/eating,choking,choking,gag
83,actions/eating,choose_candy_also,choose candy,sweets
84,actions/eating,choose_healthy_food,choose healthy food,
85,actions,choose_pick,choose,"decide,decided,decision,desire,elect,indicate,pick,select"
86,actions,chop_wood_logging,chop wood,"chop tree,cut tree,lumberjack"
87,actions,circle_draw,draw circle,
88,actions,clap_boy,clap,"applaud,clap hands"
89,actions,clap_girl,clap,"applaud,clap hands"
90,actions,clap_hands,clap hands,"applaud,applause"
91,actions/cleaning,clean_cage,clean cage,wash cage
93,actions/cleaning,clean_lint_trap,clean lint trap,"dryer,empty"
94,actions/cleaning,clean_pick_up,clean,"neaten,organize,pick up,tidy"
95,actions/cleaning,clean_river_city,clean river,
96,actions/cleaning,clean_river_net,clean river,fish
97,actions/cleaning,clean_room,clean room,"tidy,vacuum"
98,descriptives,clean_water,clean water,"clear water,sparkling water"
99,actions/cleaning,clear_table,clear table,
100,actions,climb,climb,"ascend,climbed,climbing,climbs,hike,mount,scale"
